participant,view,rep_id,cycle_percent,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
side_person1,side,1,71.0,97.25024270254067,108.72254267295902,123.25297752749402,123.81621988700273,122.34028299153103,146.33198016102293,16.49116775547749
side_person1,side,1,72.0,96.03899860275067,108.32273125016678,122.90680364316647,126.26233130965048,120.41689398829595,143.56179068701206,14.778616017403841
side_person1,side,1,73.0,94.82775450296066,107.92291982737454,122.5606297588389,128.70844273229824,118.4935049850609,140.7916012130012,13.066064279330188
side_person1,side,1,74.0,93.96571630304885,107.71313816423991,122.38174795841816,131.07105928224627,116.94369760775115,139.1619814923806,11.886480535490382
side_person1,side,1,75.0,93.49653474050001,107.71713998072008,122.39106975239257,133.33974410040716,115.81416955960736,138.81550274432405,11.306485785163662
side_person1,side,1,76.0,93.02735317795118,107.72114179720023,122.40039154636698,135.60842891856805,114.68464151146358,138.4690239962675,10.726491034836943
side_person1,side,1,77.0,93.6769497928877,108.45886579994468,123.10109454438555,136.71922624294237,114.94936938375075,138.64159597657456,10.519879718534872
side_person1,side,1,78.0,95.32101589892228,109.84878730159069,124.41635861266558,136.80079023950643,116.45343585197648,139.27554638209364,10.64516478803248
side_person1,side,1,79.0,96.96508200495686,111.2387088032367,125.7316226809456,136.88235423607048,117.95750232020222,139.90949678761274,10.770449857530087
side_person1,side,1,80.0,97.25110214037822,111.35657409089978,125.94257566708445,137.9268576898567,116.98537939014776,139.646998159155,10.550657227827056
side_person1,side,1,81.0,96.58649009637038,110.58400002877484,125.38051089572453,139.64541876369836,114.27992388129722,138.7569852069135,10.08931020868359
side_person1,side,1,82.0,95.92187805236256,109.81142596664992,124.8184461243646,141.36397983754003,111.57446837244672,137.86697225467202,9.627963189540129
side_person1,side,1,83.0,97.08762427323035,109.67840756070824,125.52179706307084,142.9915088250524,109.49446770292508,136.898050912598,8.985486921859183
side_person1,side,1,84.0,99.25174772948485,109.89423769450288,126.91537475272227,144.5693839472942,107.75562421849193,135.88608863061532,8.244212882248704
side_person1,side,1,85.0,101.41587118573936,110.11006782829753,128.3089524423737,146.14725906953603,106.0167807340588,134.87412634863264,7.502938842638224
side_person1,side,1,86.0,103.14480772661241,111.24366085575045,129.63464890903023,146.80034461998181,105.76095656030485,134.43018909593272,7.248249942980266
side_person1,side,1,87.0,104.69241638607653,112.75965508889432,130.9320615327722,147.06810118217925,106.12305709933388,134.22292893876727,7.1963048516358565
side_person1,side,1,88.0,106.24002504554065,114.27564932203819,132.22947415651416,147.3358577443767,106.4851576383629,134.01566878160182,7.144359760291446
side_person1,side,1,89.0,107.19589516913541,115.30966262614098,133.03226791408778,148.04373273820238,106.86930734786357,134.4846952862551,6.9816019093742705
side_person1,side,1,90.0,107.96969189707808,116.19537410592343,133.68287125130192,148.88702878791366,107.26024141750933,135.16180999454488,6.784747824742398
side_person1,side,1,91.0,108.74348862502073,117.0810855857059,134.33347458851605,149.73032483762498,107.65117548715511,135.83892470283467,6.587893740110526
side_person1,side,1,92.0,110.18846582681053,116.24023730172196,135.10966936530127,151.1466357955671,107.14240457375524,134.49895835142178,6.348888450927349
side_person1,side,1,93.0,111.77726741585327,115.02941192550237,135.91277659342313,152.68573566241588,106.44083973541703,132.72676034435833,6.100850760768893
side_person1,side,1,94.0,113.366069004896,113.81858654928281,136.715883821545,154.22483552926462,105.73927489707881,130.95456233729487,5.8528130706104395
side_person1,side,1,95.0,115.88577833896599,114.94700901391815,137.93861936581823,155.2257444799228,106.38016379564097,129.79999030168605,5.595961484515523
side_person1,side,1,96.0,118.5296087057063,116.3873311906675,139.21730535224495,156.1548946417556,107.20004652578984,128.72776839560453,5.337934712295746
side_person1,side,1,97.0,121.17343907244658,117.82765336741684,140.49599133867167,157.08404480358837,108.01992925593872,127.65554648952298,5.079907940075968
side_person1,side,1,98.0,122.6902913410474,118.32302120187227,141.35868230259973,157.49628662890763,108.552200296214,127.67484689233821,5.37124475626351
side_person1,side,1,99.0,124.13670747851448,118.75932938993431,142.19537357762164,157.87622168319476,109.06649560587218,127.7623674394595,5.69691679672651
side_person1,side,1,100.0,125.58312361598156,119.19563757799637,143.03206485264354,158.2561567374819,109.58079091553034,127.84988798658078,6.022588837189511
side_person1,side,2,0.0,117.16177805747094,123.67971994025046,137.1240130682501,143.15524672775877,111.36606546295567,137.11544432823484,8.989300660270205
side_person1,side,2,1.0,116.83358459763242,123.75884372088846,136.87404845729617,142.0640603224471,111.5121909549759,138.72553724420086,9.356935522018189
side_person1,side,2,2.0,116.50539113779391,123.83796750152648,136.62408384634224,140.97287391713544,111.65831644699614,140.3356301601669,9.724570383766173
side_person1,side,2,3.0,116.17719767795538,123.91709128216448,136.3741192353883,139.88168751182377,111.80444193901636,141.9457230761329,10.092205245514156
side_person1,side,2,4.0,115.7339631403962,124.4407028200037,136.2889933018521,138.593305398295,112.52983208872469,142.44033270158968,10.24681089324855
side_person1,side,2,5.0,115.2571749551685,125.09395662035993,136.25194531589602,137.24740786986956,113.4241744302587,142.60959303398127,10.339283020228981
side_person1,side,2,6.0,114.78038676994078,125.74721042071616,136.21489732993996,135.90151034144412,114.31851677179273,142.77885336637286,10.431755147209412
side_person1,side,2,7.0,114.35432894891383,125.3099408081119,136.185326772074,134.74211823831646,115.33731254614416,142.26523028399419,10.699382710661922
side_person1,side,2,8.0,113.97004907487576,123.97459309071665,136.16191409616462,133.7363188383752,116.45859938281582,141.18923262474587,11.111255927679675
side_person1,side,2,9.0,113.58576920083767,122.6392453733214,136.13850142025524,132.73051943843396,117.57988621948746,140.11323496549755,11.52312914469743
side_person1,side,2,10.0,113.37742227934433,121.79163596038923,136.19959292506582,131.76746530374203,118.41409834799495,139.5738225520971,11.877071025768092
side_person1,side,2,11.0,113.5385345581949,121.96827698682955,136.4381432093883,130.89417622607368,118.64545358935769,140.16123915497727,12.10935710134986
side_person1,side,2,12.0,113.69964683704546,122.14491801326986,136.6766934937108,130.02088714840534,118.87680883072042,140.74865575785742,12.341643176931628
side_person1,side,2,13.0,113.79479046209632,122.32916805295581,136.87389215926353,129.22914623640395,119.15236942983107,141.37195669590926,12.547356555757679
side_person1,side,2,14.0,113.27422665168325,122.58443554960104,136.68514238296515,129.19852153729428,119.84051336792224,142.3301780955636,12.50505809819704
side_person1,side,2,15.0,112.75366284127018,122.83970304624626,136.49639260666677,129.16789683818465,120.52865730601343,143.288399495218,12.462759640636401
side_person1,side,2,16.0,112.2330990308571,123.09497054289147,136.30764283036842,129.13727213907498,121.2168012441046,144.24662089487236,12.420461183075762
side_person1,side,2,17.0,111.61840010453344,123.27580258057499,135.86479267797583,128.87786603175329,121.73321613748824,145.56947692702718,12.618728239192093
side_person1,side,2,18.0,110.9897552351119,123.44560714285677,135.38429802542112,128.58456638247424,122.2241896909152,146.9463529047376,12.852634630667973
side_person1,side,2,19.0,110.36111036569037,123.61541170513856,134.90380337286643,128.29126673319522,122.71516324434216,148.32322888244806,13.086541022143855
side_person1,side,2,20.0,107.75684970571909,122.27831867529261,132.84179441626776,128.95393557649408,125.0171780770761,147.58446540779525,13.039578485730736
side_person1,side,2,21.0,104.0660003609455,120.11243196977642,129.9099525924449,130.1423870907108,128.31526561342883,145.68210023434264,12.838138038978668
side_person1,side,2,22.0,100.37515101617188,117.94654526426022,126.97811076862205,131.33083860492752,131.61335314978157,143.77973506089006,12.6366975922266
side_person1,side,2,23.0,98.15868660707176,116.64784762763037,125.19098790335595,132.21486945428566,132.29430501377843,143.08603730912796,12.998140555452977
side_person1,side,2,24.0,97.9836782627503,116.54987331715084,124.98886051916841,132.6773947676857,129.35153056220562,144.06587906432188,14.138960547880274
side_person1,side,2,25.0,97.80866991842885,116.45189900667131,124.78673313498088,133.1399200810858,126.40875611063281,145.04572081951585,15.279780540307572
side_person1,side,2,26.0,97.46136190318069,116.040718265337,124.51055258598973,133.6789643161555,123.63868363648741,145.8118625761467,16.094398776636268
side_person1,side,2,27.0,96.3961385924046,114.32451072877441,123.92581718365018,134.53683739151538,121.58820273495624,145.687587672098,15.549843029220797
side_person1,side,2,28.0,95.3309152816285,112.60830319221182,123.34108178131063,135.39471046687527,119.53772183342505,145.56331276804931,15.005287281805328
side_person1,side,2,29.0,94.26569197085243,110.89209565564924,122.75634637897109,136.25258354223516,117.4872409318939,145.4390378640006,14.460731534389863
side_person1,side,2,30.0,94.3877225704978,111.55161225070351,122.45127136400345,136.58624584820208,118.23138352899879,145.26613749474444,15.648653414969539
side_person1,side,2,31.0,94.54932830049054,112.29031965014502,122.15551836194821,136.90243446185588,119.06868024272491,145.09161627664804,16.894324549815728
side_person1,side,2,32.0,94.7109340304833,113.02902704958653,121.85976535989298,137.2186230755097,119.90597695645101,144.91709505855164,18.139995684661915
side_person1,side,2,33.0,94.35155989553924,112.9796932795399,121.29082916119717,137.51503917891506,119.3557527947016,144.98462744797138,18.51058222029835
side_person1,side,2,34.0,93.81097537279106,112.65625823314959,120.6268727201916,137.80457788745142,118.32291267626505,145.13635239652717,18.576791504035743
side_person1,side,2,35.0,93.27039085004289,112.33282318675927,119.96291627918603,138.09411659598777,117.29007255782851,145.28807734508294,18.643000787773133
side_person1,side,2,36.0,93.31725749537375,112.3898815786841,119.77796699967746,138.36316168153468,117.45711003934933,145.3494517389374,19.232783133440943
side_person1,side,2,37.0,93.91485961077869,112.80365256902938,120.04208693407233,138.61299399552897,118.74903277083021,145.32612248775933,20.313415224668532
side_person1,side,2,38.0,94.51246172618364,113.21742355937467,120.3062068684672,138.86282630952326,120.04095550231108,145.3027932365813,21.394047315896117
side_person1,side,2,39.0,95.07317011002797,113.58359535700566,120.62480937844298,139.04907994887515,120.80663430775864,145.23942888899649,22.106264968644737
side_person1,side,2,40.0,95.54369381672414,113.83341357244616,121.07659151761648,139.0799190502123,120.28593907179146,145.0782009724174,21.917913994000337
side_person1,side,2,41.0,96.0142175234203,114.08323178788666,121.52837365678998,139.1107581515495,119.7652438358243,144.91697305583827,21.72956301935594
side_person1,side,2,42.0,96.4697629631691,114.32857164565901,121.95994794464123,139.14654090010256,119.29428569184121,144.77625404628753,21.56181216443144
side_person1,side,2,43.0,96.70812353218118,114.50897531724327,122.09850838831986,139.2540065332863,119.54451538162778,144.93291418864823,21.69276304544552
side_person1,side,2,44.0,96.94648410119326,114.68937898882751,122.23706883199849,139.36147216647,119.79474507141434,145.08957433100892,21.823713926459597
side_person1,side,2,45.0,97.18484467020534,114.86978266041176,122.3756292756771,139.46893779965373,120.0449747612009,145.2462344733696,21.954664807473677
side_person1,side,2,46.0,97.39716135640069,114.90431884077283,122.54597649083581,139.39211439913035,119.98133652815876,145.18378575128418,21.71381219173408
side_person1,side,2,47.0,97.6044696035928,114.91080358051404,122.72243654666377,139.27985079981713,119.85733907918802,145.07920070911294,21.401458903541855
side_person1,side,2,48.0,97.81177785078494,114.91728832025527,122.89889660249172,139.16758720050393,119.73334163021728,144.9746156669417,21.08910561534963
side_person1,side,2,49.0,98.06481830273545,114.87966870385101,123.14827323437392,139.18674330489173,119.65294383582427,144.4976110392971,20.859408192984183
side_person1,side,2,50.0,98.34674225242813,114.81419370461802,123.44370244060613,139.2889013274065,119.60008266537511,143.78539404187984,20.68191447535144
side_person1,side,2,51.0,98.6286662021208,114.74871870538504,123.73913164683836,139.3910593499213,119.54722149492595,143.0731770444626,20.504420757718698
side_person1,side,2,52.0,98.82012833593986,114.66435108317964,124.27206981683675,139.02835357319537,119.54694311992304,142.19290639115366,19.56807320185241
side_person1,side,2,53.0,98.86835926129237,114.55007014126791,125.18106384613155,137.92961344767164,119.62992083771005,141.04655078268283,17.43020706878303
side_person1,side,2,54.0,98.91659018664488,114.43578919935617,126.09005787542634,136.8308733221479,119.71289855549706,139.90019517421203,15.292340935713652
side_person1,side,2,55.0,98.88830572114942,114.27416494903001,126.81044377584132,135.9872085429635,119.79207981036944,138.95329082173203,13.515983613320568
side_person1,side,2,56.0,98.4621412232445,113.86635549494886,126.5500674060814,136.46993556474348,119.85151945808569,139.0435330004041,13.6194721064441
side_person1,side,2,57.0,98.0359767253396,113.45854604086772,126.28969103632146,136.95266258652345,119.91095910580194,139.1337751790762,13.722960599567632
side_person1,side,2,58.0,97.60981222743469,113.05073658678656,126.02931466656153,137.43538960830344,119.97039875351818,139.2240173577483,13.826449092691163
side_person1,side,2,59.0,97.61844299547191,113.12588786284398,125.90116712496315,137.66185904581602,120.09848098311787,139.32160860123517,14.211043554853147
side_person1,side,2,60.0,97.65705964391893,113.2343467754627,125.78213881289315,137.87065554648257,120.23129718388194,139.41970667677822,14.61502463556951
side_person1,side,2,61.0,97.69567629236595,113.34280568808141,125.66311050082315,138.07945204714912,120.364113384646,139.51780475232127,15.019005716285871
side_person1,side,2,62.0,97.86937576716696,113.3445867047945,126.03311812393768,138.00384084805373,120.53901240934775,139.7836037114725,14.634831580735545
side_person1,side,2,63.0,98.09833639820368,113.30272676409164,126.60318590235498,137.81188104451027,120.73112713475125,140.11800757755432,13.928230311257936
side_person1,side,2,64.0,98.32729702924041,113.26086682338878,127.17325368077226,137.61992124096682,120.92324186015476,140.45241144363615,13.221629041780327
side_person1,side,2,65.0,97.79751607196934,112.55053819640924,126.73442793535999,138.12583737034097,119.62776781639472,139.84427340903605,12.972539132022153
side_person1,side,2,66.0,96.45841075383662,111.1271763040679,125.21944909786288,139.37615449482723,116.74553241886024,138.2307573470419,13.211461339298037
side_person1,side,2,67.0,95.1193054357039,109.70381441172655,123.70447026036577,140.6264716193135,113.86329702132575,136.61724128504775,13.45038354657392
side_person1,side,2,68.0,94.39398518310512,108.87053087450666,122.88566228690146,141.48957442029896,111.79504104054381,135.25591271966454,13.397425447396131
side_person1,side,2,69.0,95.43329699391634,109.73372260826079,124.06834554753138,141.23943604121962,112.06697588292532,134.61962320703773,12.505311467164082
side_person1,side,2,70.0,96.47260880472757,110.59691434201495,125.2510288081613,140.98929766214027,112.33891072530685,133.98333369441093,11.613197486932025
side_person1,side,2,71.0,97.48648374527563,111.42746238652508,126.40880273431503,140.7592983916105,112.58677925147327,133.35202606883325,10.720989476774289
side_person1,side,2,72.0,97.73725257792823,111.27869975371428,126.8192966261827,141.13347237756778,112.1126582911868,132.87017505472875,9.82596056884618
side_person1,side,2,73.0,97.98802141058083,111.12993712090348,127.22979051805038,141.50764636352505,111.63853733090035,132.38832404062424,8.93093166091807
side_person1,side,2,74.0,98.23879024323342,110.98117448809268,127.64028440991805,141.88182034948233,111.16441637061388,131.90647302651973,8.035902752989958
side_person1,side,2,75.0,98.47344688510988,110.60456686651429,128.08520987635896,142.77846728273465,111.14617959426488,130.94052143653033,7.857927600290829
side_person1,side,2,76.0,98.70423660120005,110.17327644763166,128.53839892069746,143.80050772333774,111.23735502206088,129.85838570832854,7.852045348846654
side_person1,side,2,77.0,98.93502631729024,109.74198602874904,128.99158796503593,144.82254816394087,111.32853044985688,128.77624998012675,7.8461630974024805
side_person1,side,2,78.0,99.30628282720993,109.96619031392585,129.04701815935346,145.4198234558158,110.22434953690393,128.48558837843552,8.051161275074588
side_person1,side,2,79.0,99.77898757711758,110.66380744092336,128.81517807310027,145.71032391805366,108.25685571118784,128.76654697922416,8.408461984886227
side_person1,side,2,80.0,100.25169232702524,111.36142456792088,128.58333798684708,146.00082438029153,106.28936188547176,129.04750558001277,8.765762694697866
side_person1,side,2,81.0,100.85578224095167,111.71879413082404,128.98337903284352,146.37719744269972,105.05646351540237,129.16224939582514,8.478611278965749
side_person1,side,2,82.0,101.69875427127583,111.45753175901025,130.5322948647483,146.90970250541764,105.15919324650874,128.9747845116807,7.019728725881418
side_person1,side,2,83.0,102.54172630160001,111.19626938719645,132.08121069665313,147.44220756813553,105.2619229776151,128.78731962753625,5.560846172797071
side_person1,side,2,84.0,103.36983878617264,110.99753752682433,133.4950528551535,147.99242793261377,105.43409873825955,128.67533314592356,4.286874806587797
side_person1,side,2,85.0,104.09764933692229,111.22088661868348,133.99714771817398,148.66222658397402,106.07503519828609,129.0728258814004,4.26105395178534
side_person1,side,2,86.0,104.82545988767194,111.44423571054264,134.49924258119444,149.33202523533427,106.71597165831261,129.47031861687722,4.235233096982883
side_person1,side,2,87.0,105.55327043842159,111.6675848024018,135.0013374442149,150.00182388669452,107.35690811833913,129.86781135235407,4.209412242180426
side_person1,side,2,88.0,107.61478357352554,112.49922790967423,136.01382983797922,150.7910511460848,108.01899993949513,130.13309410307767,4.594541430936261
side_person1,side,2,89.0,109.81919341409603,113.39604537574094,137.08100768146605,151.59307432776404,108.68335840648642,130.384211498292,5.023700981501913
side_person1,side,2,90.0,112.02360325466653,114.29286284180763,138.1481855249529,152.39509750944327,109.34771687347771,130.6353288935063,5.452860532067565
side_person1,side,2,91.0,113.76887889088557,114.47520742429926,139.0964087810776,153.29935844471652,109.66334477758996,130.29893272829673,5.664168887560867
side_person1,side,2,92.0,115.29551919169919,114.31732682413607,139.9879869956013,154.25230402455836,109.81291050890269,129.68276820098055,5.771738578734004
side_person1,side,2,93.0,116.8221594925128,114.15944622397289,140.87956521012495,155.20524960440017,109.96247624021541,129.0666036736644,5.87930826990714
side_person1,side,2,94.0,118.14023155967378,113.83259457429138,141.4467661840864,156.16007738904906,109.56744129952001,128.17208602290287,5.929876640535216
side_person1,side,2,95.0,119.20504220025657,113.30056379305186,141.62008050879373,157.1171907081066,108.51110554281478,126.9395681508149,5.911229121930004
side_person1,side,2,96.0,120.26985284083938,112.76853301181237,141.79339483350105,158.07430402716415,107.45476978610954,125.70705027872694,5.892581603324793
side_person1,side,2,97.0,121.34590517440877,112.49731174824002,142.04656007492835,158.97095790158306,106.75138895303867,124.89025900387936,5.858129937081489
side_person1,side,2,98.0,122.46050045536072,113.12029454524087,142.573499887967,159.6603222515268,107.25813928671433,125.49881606242748,5.769492621793295
