participant,view,rep_id,cycle_percent,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
side_person1,side,1,0.0,119.83507379898164,121.63895089662957,138.84518109801812,151.53681010577878,114.01708953168144,133.00659650409898,8.667232345639645
side_person1,side,1,1.0,118.1514141152339,120.0021424582973,137.47400060009392,151.3754938169045,113.64185967873772,132.64282246188736,8.466561729808873
side_person1,side,1,2.0,116.46775443148616,118.36533401996503,136.10282010216974,151.2141775280302,113.266629825794,132.27904841967572,8.265891113978102
side_person1,side,1,3.0,114.81919696143315,116.8050669552995,134.7460745795559,150.9738278369376,112.88762680886798,131.9074954423551,8.099182208222732
side_person1,side,1,4.0,113.73227491049585,116.46946186930155,133.62028866190778,149.46894371035177,112.44825316822508,131.4114795032908,8.47586066367381
side_person1,side,1,5.0,112.64535285955854,116.13385678330363,132.49450274425962,147.96405958376593,112.0088795275822,130.91546356422646,8.85253911912489
side_person1,side,1,6.0,111.6656923943593,115.78982064888538,131.48919966205605,146.5622634647101,111.70941393513658,130.51198362704184,9.200503170155471
side_person1,side,1,7.0,111.49049382219557,115.38255165131484,131.38751784568674,145.9336274021295,112.45925870417058,130.8025237039551,9.333109188032312
side_person1,side,1,8.0,111.31529525003185,114.97528265374429,131.2858360293174,145.3049913395489,113.20910347320456,131.09306378086833,9.465715205909154
side_person1,side,1,9.0,111.05398683099966,114.66486921875696,131.187250978089,144.639725378265,113.85570899894839,131.34098537584316,9.578587214772227
side_person1,side,1,10.0,110.39083245991459,114.80644840915797,131.10311749751804,143.80351988969906,114.02053138933815,131.39002072177198,9.59936718157105
side_person1,side,1,11.0,109.72767808882953,114.94802759955897,131.0189840169471,142.9673144011331,114.18535377972789,131.43905606770082,9.620147148369876
side_person1,side,1,12.0,109.24650801736276,114.7503911681362,130.93992300144967,142.05460063040098,114.15736452571716,131.81114821630362,10.052547976743034
side_person1,side,1,13.0,109.35678691965542,113.45030396578626,130.8773474974412,140.89323494262885,113.50273742740487,133.2331749735969,11.82271660523278
side_person1,side,1,14.0,109.46706582194808,112.1502167634363,130.81477199343271,139.73186925485672,112.84811032909259,134.65520173089018,13.592885233722523
side_person1,side,1,15.0,109.31101705513952,111.48876411700331,130.63339684364038,138.61359614573996,112.89437599394284,135.61220371542734,14.735636041864337
side_person1,side,1,16.0,108.51578188248799,112.36003440477103,130.16690254396678,137.5987452253962,114.6227842903832,135.4531462453499,14.37258408117112
side_person1,side,1,17.0,107.72054670983647,113.23130469253874,129.7004082442932,136.58389430505238,116.35119258682354,135.29408877527246,14.009532120477902
side_person1,side,1,18.0,107.0510826722751,114.05647831280189,129.475569874421,135.13137912751756,118.42730789725806,136.67091215401814,13.751300268312518
side_person1,side,1,19.0,106.6121990490457,114.79714137597334,129.69376737585154,132.87647947846585,121.14088606668192,140.86351708893963,13.685238615114828
side_person1,side,1,20.0,106.17331542581628,115.53780443914478,129.91196487728206,130.62157982941412,123.85446423610576,145.0561220238611,13.61917696191714
side_person1,side,1,21.0,105.88781207294288,115.78245351358187,129.83376282798002,128.9219944286595,125.45987195266822,147.9251459499512,14.012655337292314
side_person1,side,1,22.0,105.8214233920066,115.3185111755413,129.3321328490601,128.01571509690072,125.48217902228586,148.90333986342515,15.062619467771576
side_person1,side,1,23.0,105.75503471107032,114.85456883750074,128.83050287014015,127.10943576514192,125.50448609190352,149.8815337768991,16.11258359825084
side_person1,side,1,24.0,105.77092568824061,114.89084492116005,128.5140517396009,126.07593973215751,125.30791753084398,150.8335432216412,16.44009016702181
side_person1,side,1,25.0,105.87938128078078,115.48986672923175,128.40592681348994,124.89932491029427,124.86511388527262,151.75609513906005,15.954831978870953
side_person1,side,1,26.0,105.98783687332094,116.08888853730343,128.297801887379,123.72271008843103,124.42231023970126,152.67864705647892,15.469573790720094
side_person1,side,1,27.0,105.67820045368397,116.27909475993661,127.82494280001248,123.37717259710045,123.87893583824352,152.70229183115367,15.706048049593068
side_person1,side,1,28.0,104.99692668988955,116.10590935106889,127.02787556930768,123.7703705106878,123.2461652093312,151.92690803450037,16.58406226137611
side_person1,side,1,29.0,104.31565292609511,115.93272394220116,126.23080833860291,124.16356842427514,122.61339458041887,151.15152423784707,17.46207647315915
side_person1,side,1,30.0,103.83324163997358,115.3181715213342,125.65142335381884,124.19651247662632,122.20352077046887,150.02631403267452,18.2187054611927
side_person1,side,1,31.0,103.49003408822307,114.39466219206776,125.22441594117927,123.97727882611217,121.94967473379249,148.65622534153846,18.890364792601613
side_person1,side,1,32.0,103.14682653647257,113.4711528628013,124.7974085285397,123.75804517559801,121.69582869711613,147.28613665040243,19.562024124010524
side_person1,side,1,33.0,103.30088914435417,113.01413984840381,124.89657352184162,123.2583500829603,122.08559655034666,147.21091643037266,19.880280704145758
side_person1,side,1,34.0,103.72619002112602,112.81157936938938,125.28274164565704,122.60567602189157,122.82642652534462,147.84198810367363,20.005772147222622
side_person1,side,1,35.0,104.15149089789784,112.60901889037495,125.66890976947248,121.95300196082283,123.56725650034257,148.4730597769746,20.131263590299483
side_person1,side,1,36.0,104.30755134083013,113.29168877092444,125.86378718322793,120.85700703411787,123.2180205301286,149.98209236918808,19.923200389802094
side_person1,side,1,37.0,104.35142826966259,114.34320463462558,125.97896013445839,119.57629508006448,122.41459041607632,151.85694201094844,19.576156087815427
side_person1,side,1,38.0,104.39530519849507,115.39472049832672,126.09413308568884,118.2955831260111,121.61116030202405,153.73179165270884,19.229111785828763
side_person1,side,1,39.0,104.5380295588233,115.9877874993384,126.29376181018634,117.57552284669379,121.64622824290386,155.2604080957079,19.07925113468354
side_person1,side,1,40.0,104.7111685134579,116.43979331183023,126.51937692645832,117.02797077498755,121.93929558530125,156.68249124678044,18.990062376104905
side_person1,side,1,41.0,104.88430746809252,116.89179912432208,126.74499204273029,116.48041870328133,122.23236292769865,158.10457439785296,18.900873617526273
side_person1,side,1,42.0,105.31198699121552,117.16860678518404,127.20780557489962,116.13267496702913,122.11801515467465,158.28255924153916,18.828743164815887
side_person1,side,1,43.0,105.79421092187172,117.40787198498246,127.72144733904696,115.82774730265994,121.91636414263179,158.19395159078545,18.760268063362982
side_person1,side,1,44.0,106.27643485252794,117.64713718478089,128.2350891031943,115.52281963829076,121.71471313058892,158.1053439400317,18.691792961910078
side_person1,side,1,45.0,106.01983682236931,117.60019485571782,128.17227801577062,115.54222647612411,121.9752781242461,158.23034987156836,18.42587152136731
side_person1,side,1,46.0,105.66472919743536,117.51509152280654,128.03260654813744,115.60487791425115,122.29747191866328,158.38383761407707,18.133623902279226
side_person1,side,1,47.0,105.30962157250143,117.42998818989527,127.89293508050429,115.66752935237817,122.61966571308045,158.53732535658574,17.841376283191146
side_person1,side,1,48.0,105.59366804901678,117.59309729676225,128.15105211965954,115.58740752064705,123.02859123619214,159.01195683428642,17.960548798795415
side_person1,side,1,49.0,105.91766165687274,117.77171968111539,128.4340309404891,115.4983623595498,123.44293749234723,159.50665979543658,18.105435072817954
side_person1,side,1,50.0,106.24165526472868,117.95034206546852,128.71700976131862,115.40931719845256,123.85728374850233,160.00136275658676,18.250321346840497
side_person1,side,1,51.0,105.87196126933414,118.15674874675251,128.47629206860006,115.04190469813487,123.79442203829758,161.6858734752356,18.157393613717886
side_person1,side,1,52.0,105.50226727393961,118.3631554280365,128.23557437588153,114.67449219781719,123.73156032809284,163.3703841938845,18.06446588059527
side_person1,side,1,53.0,105.14732471390096,118.51892714221437,127.98961519975259,114.3554705602087,123.64208788366678,164.92911567429198,18.01605260053926
side_person1,side,1,54.0,105.02840511955642,117.86453938269418,127.65979228905778,114.81070272594724,123.12684369169962,164.47537934283773,18.679870569548854
side_person1,side,1,55.0,104.9094855252119,117.210151623174,127.32996937836295,115.26593489168579,122.61159949973246,164.0216430113835,19.343688538558446
side_person1,side,1,56.0,104.81423953605102,116.59360892342214,127.13818762543822,115.46648601734815,122.24427304894286,163.62114701489378,19.63509267079371
side_person1,side,1,57.0,104.89654558576746,116.26090417193274,127.98171455578911,113.75692934243922,122.98632965698485,163.61995353063787,17.13339302722164
side_person1,side,1,58.0,104.97885163548389,115.92819942044332,128.82524148614002,112.04737266753027,123.72838626502687,163.61876004638196,14.63169338364954
side_person1,side,1,59.0,105.01406275259514,115.72245276585146,129.48948472018083,110.70692526392283,124.33367869322694,163.66329423793454,12.647964961346535
side_person1,side,1,60.0,104.82949751754886,116.10917723011484,129.31707070477466,111.08898779305585,124.30073828216469,163.92122424992672,13.081435571632706
side_person1,side,1,61.0,104.64493228250258,116.49590169437823,129.14465668936847,111.47105032218886,124.26779787110243,164.1791542619189,13.514906181918878
side_person1,side,1,62.0,104.04082201395553,116.02439086708307,128.66887635898885,112.29318155534197,124.29188956363156,163.63978189702374,13.950249135049203
side_person1,side,1,63.0,102.073190386531,112.76361534222258,127.20715550494546,114.5455360765604,124.50133559283267,160.50917680724467,14.391677202423022
side_person1,side,1,64.0,100.10555875910646,109.50283981736209,125.74543465090208,116.79789059777883,124.7107816220338,157.37857171746558,14.83310526979684
side_person1,side,1,65.0,98.42247645289366,107.20083506150395,124.5190526430346,118.4257324866523,124.8881983139014,155.0115275578768,15.08180422763685
side_person1,side,1,66.0,97.42231251758902,107.19988015125152,123.8574838659893,118.55474405789784,124.98874459616853,154.47702963074488,14.867953322595717
side_person1,side,1,67.0,96.42214858228438,107.19892524099909,123.19591508894398,118.68375562914338,125.08929087843566,153.94253170361296,14.654102417554583
side_person1,side,1,68.0,96.01186447377835,107.40097098365203,122.843162599278,119.25224536447666,124.91170021289317,152.86179606106288,14.837401240410253
side_person1,side,1,69.0,96.6830267144031,107.97518458996485,123.05657330314085,120.62644506730413,124.22419180969973,150.77962460691282,15.748807897743388
side_person1,side,1,70.0,97.35418895502787,108.54939819627769,123.2699840070037,122.00064477013161,123.5366834065063,148.69745315276273,16.660214555076536
